"Protein","Log2FC","SE","F_value","P_value","FDR","Comparison","N","Study"
"NFASC",-0.101771846717776,0.151707113525879,0.450032024781255,0.511715208963972,0.780383995358505,"EOAD_vs_CN",27,"study_3_Soma"
"ALDOA",0.191296691003128,0.141317626265081,1.83240828938637,0.197569743597928,0.556003630655717,"EOAD_vs_CN",27,"study_3_Soma"
"LSAMP",-0.047326280320009,0.138071921138636,0.117488134541546,0.736908961087815,0.897765660022412,"EOAD_vs_CN",27,"study_3_Soma"
"PARK7",0.160585803381826,0.136445894506241,1.38513898233023,0.255543237151124,0.599089688273442,"EOAD_vs_CN",27,"study_3_Soma"
"YWHAZ",0.613648638207989,0.145419802242774,17.8070693529544,0.000756485393213389,0.201603357291368,"EOAD_vs_CN",27,"study_3_Soma"
"CXCL16",0.00415293925017401,0.180293738604819,0.000530578768759932,0.981883918683642,0.991562344601662,"EOAD_vs_CN",27,"study_3_Soma"
"CST7",0.038261694050723,0.214345934203824,0.0318638236062467,0.861682052149206,0.956237165684395,"EOAD_vs_CN",27,"study_3_Soma"
"PROCR",-0.20790822813505,0.184042863251855,1.27616077605571,0.273343029871803,0.612212600320662,"EOAD_vs_CN",27,"study_3_Soma"
"NCAN",-0.181123511365675,0.215191213163924,0.70843594780494,0.41495251064102,0.713731964663984,"EOAD_vs_CN",27,"study_3_Soma"
"DPP7",-0.411299977302418,0.16700474954024,6.06540389975477,0.028526465534938,0.392986765697699,"EOAD_vs_CN",27,"study_3_Soma"
"ICOSLG",0.102579340106098,0.163191514210882,0.39511603730258,0.536973711706234,0.792586342555838,"EOAD_vs_CN",27,"study_3_Soma"
"FOLR2",0.0411965230736264,0.257428981560322,0.0256098037495057,0.875463656031925,0.960822151921846,"EOAD_vs_CN",27,"study_3_Soma"
"GC",-0.163982590858236,0.0735916509119784,4.96521885738915,0.0453024618727709,0.433444817714584,"EOAD_vs_CN",27,"study_3_Soma"
"HBA1",-0.691351948750752,1.67357757006536,0.170650155917397,0.685087227489437,0.8691653379513,"EOAD_vs_CN",27,"study_3_Soma"
"FBLN5",-0.0132223367651303,0.128508495466439,0.0105865084935887,0.919326458545145,0.973430252542192,"EOAD_vs_CN",27,"study_3_Soma"
"NUCB2",-0.135734046520835,0.138976822715787,0.95387800736904,0.34734264388349,0.671586189960612,"EOAD_vs_CN",27,"study_3_Soma"
"ITIH2",-0.0970105561876657,0.115026646511049,0.711280777470915,0.411196077105583,0.711197974355681,"EOAD_vs_CN",27,"study_3_Soma"
"CSF1R",0.146520745293149,0.102292386400762,2.05168941194433,0.165691520822989,0.538414859491833,"EOAD_vs_CN",27,"study_3_Soma"
"PGLYRP2",-0.240818401703681,0.106239512102121,5.13815503533301,0.0438154396929365,0.430729799400977,"EOAD_vs_CN",27,"study_3_Soma"
"IGHM",-1.20200393739504,0.330077086593504,13.2611450635595,0.00262704781704325,0.365118006422492,"EOAD_vs_CN",27,"study_3_Soma"
"LAMA2",0.0480628054097174,0.0979331552398071,0.240856704430055,0.628874600262161,0.83474303756584,"EOAD_vs_CN",27,"study_3_Soma"
"APLP2",-0.198613409546194,0.129206820809909,2.36290495260669,0.141525250556148,0.525238949684168,"EOAD_vs_CN",27,"study_3_Soma"
"AGA",-0.0614987362187209,0.0531158113795088,1.3405553261196,0.263879255345071,0.60537005637987,"EOAD_vs_CN",27,"study_3_Soma"
"CFI",-0.150189651708466,0.0606484980107657,6.13253337828047,0.0237936294060627,0.392986765697699,"EOAD_vs_CN",27,"study_3_Soma"
"IGSF8",-0.121755466530276,0.206257122487737,0.348464891847311,0.562269548548068,0.801432245544712,"EOAD_vs_CN",27,"study_3_Soma"
"C1R",0.0520448695751945,0.296814925935546,0.0307456993449742,0.864070520751656,0.956237165684395,"EOAD_vs_CN",27,"study_3_Soma"
"CPN2",-0.406729331784319,0.228889046683875,3.15762800938428,0.0902463317289444,0.469280924990511,"EOAD_vs_CN",27,"study_3_Soma"
"AMBP",-0.211404718688495,0.118818124458031,3.16565780887929,0.0958350949111525,0.477002168170906,"EOAD_vs_CN",27,"study_3_Soma"
"C5",-0.185632639576703,0.211428933677171,0.770867686704617,0.396018702923002,0.699319609026924,"EOAD_vs_CN",27,"study_3_Soma"
"DBI",-0.0488096665180997,0.0844112793608339,0.334357227710468,0.570747285180667,0.805590585751456,"EOAD_vs_CN",27,"study_3_Soma"
"C1QA",0.0565624866872518,0.0816973536871208,0.479337062609479,0.50019177958844,0.770912734076046,"EOAD_vs_CN",27,"study_3_Soma"
"NRXN3",-0.194617354978741,0.124045639025772,2.46150164403227,0.136798068657296,0.52084494567982,"EOAD_vs_CN",27,"study_3_Soma"
"C6",-0.0773532123971528,0.174317163401447,0.19691391555387,0.662208718519754,0.853584635963794,"EOAD_vs_CN",27,"study_3_Soma"
"CLEC3B",-0.101516656084005,0.0738784941968745,1.88815888991406,0.1863010540199,0.549115917747133,"EOAD_vs_CN",27,"study_3_Soma"
"SPARCL1",-0.023227255990836,0.0888210646446774,0.068385474358853,0.796276736961774,0.929909933139873,"EOAD_vs_CN",27,"study_3_Soma"
"GAP43",0.619112338668167,0.297622445382389,4.32720586873182,0.060326813990662,0.459278102450447,"EOAD_vs_CN",27,"study_3_Soma"
"MCAM",-0.0984416108533708,0.0528484175225993,3.4697121626603,0.0773063683919858,0.459278102450447,"EOAD_vs_CN",27,"study_3_Soma"
"ADGRB2",-0.123740520163359,0.293212255052329,0.178098244438428,0.679473693775035,0.864342431460844,"EOAD_vs_CN",27,"study_3_Soma"
"LTBP4",-0.131683353691141,0.119047205917553,1.22355457008215,0.28181871619994,0.619420106121929,"EOAD_vs_CN",27,"study_3_Soma"
"CADM1",-0.0889006183020111,0.196324963205374,0.205049405049086,0.658345019911015,0.851765929512911,"EOAD_vs_CN",27,"study_3_Soma"
"APOD",0.0573769564358013,0.127803839750387,0.201552045791442,0.657583415337898,0.851742309538517,"EOAD_vs_CN",27,"study_3_Soma"
"SPON1",0.0207951601125203,0.164530892592525,0.0159745866555404,0.901094834228642,0.968248494739165,"EOAD_vs_CN",27,"study_3_Soma"
"SERPINF2",-0.538094855775768,0.201235426774056,7.15004544535806,0.0191148321677209,0.392986765697699,"EOAD_vs_CN",27,"study_3_Soma"
"PCSK1",-0.589076556576122,0.313897959111341,3.5218146438953,0.0787770590533434,0.459278102450447,"EOAD_vs_CN",27,"study_3_Soma"
"CPB2",-0.381629516553785,0.173515661608895,4.8373393290954,0.0458112408966633,0.433444817714584,"EOAD_vs_CN",27,"study_3_Soma"
"SPARC",-0.109210962023099,0.0537763329080408,4.12429857533579,0.0534445127171359,0.449777767551054,"EOAD_vs_CN",27,"study_3_Soma"
"LYVE1",0.124563054782136,0.23597115864727,0.278651028697564,0.606712384004975,0.825354995899961,"EOAD_vs_CN",27,"study_3_Soma"
"IGHG4",-0.279961423110796,0.0927160450284349,9.11772710335437,0.00578434765833249,0.365118006422492,"EOAD_vs_CN",27,"study_3_Soma"
"CNDP1",-0.00165523809313228,0.088009205783941,0.000353724174162532,0.985171509936925,0.991717751519744,"EOAD_vs_CN",27,"study_3_Soma"
"EFNB2",-0.0979889229715774,0.192680592817494,0.258629476520038,0.619627228493368,0.829454950490494,"EOAD_vs_CN",27,"study_3_Soma"
"PRRT2",0.105332899497959,0.259242571391882,0.165087973819363,0.691457175568927,0.87402373417764,"EOAD_vs_CN",27,"study_3_Soma"
"RNASET2",0.12456144183577,0.166783944306528,0.557774650404854,0.46592748327437,0.749226711600052,"EOAD_vs_CN",27,"study_3_Soma"
"PLTP",-0.0499309019781542,0.0344973022518612,2.09492536542313,0.165241855159869,0.538414859491833,"EOAD_vs_CN",27,"study_3_Soma"
"ATRN",-0.138915028844531,0.110778479447507,1.57248918595617,0.222798211133089,0.580214673673305,"EOAD_vs_CN",27,"study_3_Soma"
"LGALS1",-0.087703432682928,0.126571357170182,0.480133832974687,0.496232976856728,0.768128296218692,"EOAD_vs_CN",27,"study_3_Soma"
"OMG",-0.0835131257342105,0.032937213430871,6.42888666380121,0.0186992652968679,0.392986765697699,"EOAD_vs_CN",27,"study_3_Soma"
"AHSG",0.191322316413055,0.332226909027606,0.331635985686638,0.570969711919969,0.805590585751456,"EOAD_vs_CN",27,"study_3_Soma"
"IGFBP6",-0.111906253515997,0.0404588561319723,7.65035366669897,0.015824932352647,0.392986765697699,"EOAD_vs_CN",27,"study_3_Soma"
"CFHR2",-0.398893012456991,0.251198279290043,2.52161940014195,0.141226254986585,0.525238949684168,"EOAD_vs_CN",27,"study_3_Soma"
"CPE",-0.121598919968491,0.151632580731617,0.643093887980459,0.437088555139183,0.729545511135233,"EOAD_vs_CN",27,"study_3_Soma"
"HSPA8",-0.44849826334365,0.199174605954687,5.07053282080226,0.0337745231707152,0.403925520353686,"EOAD_vs_CN",27,"study_3_Soma"
"C4BPA",-0.0774573833886789,0.39250036142695,0.0389444452405639,0.845930785230241,0.950011878538078,"EOAD_vs_CN",27,"study_3_Soma"
"VTN",-0.139819454164238,0.271240104328668,0.26572193066003,0.61486945957174,0.82784379586124,"EOAD_vs_CN",27,"study_3_Soma"
"SEMA6A",-0.239920409604782,0.137910450574635,3.02649550792021,0.0962627792963049,0.477002168170906,"EOAD_vs_CN",27,"study_3_Soma"
"WFDC1",-0.40592450808222,0.215447774373615,3.54982155312564,0.0736975097886792,0.459278102450447,"EOAD_vs_CN",27,"study_3_Soma"
"NPTX1",-0.271174711295423,0.093218584260098,8.4623964436243,0.0109925624414988,0.383611802981149,"EOAD_vs_CN",27,"study_3_Soma"
"PTN",-0.161524424524181,0.0824176621797085,3.84092495682839,0.0635072173987821,0.459278102450447,"EOAD_vs_CN",27,"study_3_Soma"
"DCN",-0.334980883119288,0.0943489869821107,12.6056592489811,0.00177998554316281,0.365118006422492,"EOAD_vs_CN",27,"study_3_Soma"
"PSAP",-0.212742847321103,0.102888799024537,4.27537033093485,0.0508545466323789,0.446665637631516,"EOAD_vs_CN",27,"study_3_Soma"
"GGH",-0.298374486305987,0.154670622286375,3.72141156519401,0.0732359058141605,0.459278102450447,"EOAD_vs_CN",27,"study_3_Soma"
"F10",-0.171113956321923,0.151917569657206,1.26868807388886,0.278219137542895,0.617021360514686,"EOAD_vs_CN",27,"study_3_Soma"
"GALNT2",0.0927533415064143,0.17374844926385,0.284981884786575,0.607121320713762,0.825354995899961,"EOAD_vs_CN",27,"study_3_Soma"
"NTNG1",-0.298604269541555,0.169335635347172,3.10953395198092,0.0941952886100444,0.475136487342148,"EOAD_vs_CN",27,"study_3_Soma"
"CD55",0.0173619301073593,0.130006106924932,0.0178348105483372,0.895626061782427,0.967135318259792,"EOAD_vs_CN",27,"study_3_Soma"
"IGHA1",0.173023931925046,0.207855885755647,0.692927345575677,0.41974968239056,0.715565348598463,"EOAD_vs_CN",27,"study_3_Soma"
"ACYP2",0.0796242905594156,0.170635762489002,0.217746426706943,0.648114251427903,0.84598750043528,"EOAD_vs_CN",27,"study_3_Soma"
"CHI3L1",0.366281118701295,0.241990482134475,2.29103906354688,0.143697378194857,0.525238949684168,"EOAD_vs_CN",27,"study_3_Soma"
"FAM3C",-0.107803962089678,0.0599513607325263,3.23348875985407,0.0888324422459554,0.464550056385851,"EOAD_vs_CN",27,"study_3_Soma"
"IGKV1-5",0.0501708545523272,0.0873696205847525,0.329747944676587,0.572075115772845,0.805590585751456,"EOAD_vs_CN",27,"study_3_Soma"
"CRTAC1",-0.153101310824084,0.11677946176109,1.71879815814727,0.209608433619389,0.570985932193305,"EOAD_vs_CN",27,"study_3_Soma"
"IL6ST",-0.0631192306796109,0.133310539571746,0.224178738688425,0.641934200118932,0.842909673664384,"EOAD_vs_CN",27,"study_3_Soma"
"PRSS1",-0.0200034151255633,0.254304085029222,0.0061873063921987,0.938824227160605,0.977939429444604,"EOAD_vs_CN",27,"study_3_Soma"
"CTSH",-0.450249169462019,0.19170237095547,5.51633804680216,0.0344139514530211,0.403925520353686,"EOAD_vs_CN",27,"study_3_Soma"
"SEMA6D",-0.159214805973784,0.148318125966399,1.15233418290393,0.29699227216473,0.629828439245894,"EOAD_vs_CN",27,"study_3_Soma"
"TIMP1",-0.0572928418494971,0.115951985856947,0.244143039708968,0.629934826938342,0.83474303756584,"EOAD_vs_CN",27,"study_3_Soma"
"IDS",-0.00292050393875165,0.162574647436675,0.000322708162782834,0.985825744865937,0.991717751519744,"EOAD_vs_CN",27,"study_3_Soma"
"SELL",-0.0911400966670293,0.142077035229218,0.411501287006365,0.531895454355743,0.790048110424796,"EOAD_vs_CN",27,"study_3_Soma"
"PROS1",0.0087728309695958,0.0700185269067891,0.0156983346961208,0.901741447760659,0.968248494739165,"EOAD_vs_CN",27,"study_3_Soma"
"CYCS",0.0727048120547842,0.166336590873157,0.191051617882803,0.669858104735392,0.858599686951416,"EOAD_vs_CN",27,"study_3_Soma"
"NELL2",-0.0185013549857977,0.133227979916456,0.0192848464942849,0.890936514971195,0.966851546910002,"EOAD_vs_CN",27,"study_3_Soma"
"TAFA5",-0.15919313602541,0.168551116128241,0.892042222327685,0.361400161319507,0.678953844967085,"EOAD_vs_CN",27,"study_3_Soma"
"TNFRSF21",-0.17274582559001,0.212830626079831,0.658789817109531,0.430854104433309,0.724474625131087,"EOAD_vs_CN",27,"study_3_Soma"
"CTSB",-0.172709496319122,0.137463233467084,1.57855356926604,0.225064509149795,0.58076561027053,"EOAD_vs_CN",27,"study_3_Soma"
"LAMP1",-0.202021901550304,0.170791007255131,1.39915848199136,0.250507024817235,0.595821019758895,"EOAD_vs_CN",27,"study_3_Soma"
"IGFBP7",-0.13377867484316,0.0380173713641565,12.3825362802078,0.00447474829657994,0.365118006422492,"EOAD_vs_CN",27,"study_3_Soma"
"COL3A1",-0.0695491702550104,0.133516329415455,0.271340822697589,0.610519348415709,0.826922172277228,"EOAD_vs_CN",27,"study_3_Soma"
"KIT",-0.175937942614487,0.193683659339538,0.825150286136251,0.380063844185086,0.686143485915298,"EOAD_vs_CN",27,"study_3_Soma"
"HSPG2",-0.0800135943577853,0.160569062227891,0.24831549374241,0.6249843965866,0.834349938413235,"EOAD_vs_CN",27,"study_3_Soma"
"IGFBP2",-0.0552469285175015,0.0689644616253572,0.641749554649314,0.436177945257589,0.729350769577516,"EOAD_vs_CN",27,"study_3_Soma"
"GDA",0.319168620764575,0.300471120239245,1.12832679433582,0.309281907953312,0.640057666140095,"EOAD_vs_CN",27,"study_3_Soma"
"NTM",-0.121457873519997,0.100298383040823,1.46643724784769,0.245496269024868,0.594012325401403,"EOAD_vs_CN",27,"study_3_Soma"
"NECTIN1",-0.12877321336264,0.234584432816845,0.301337158570419,0.591283522771769,0.817485687547387,"EOAD_vs_CN",27,"study_3_Soma"
"ALCAM",-0.0795333569716306,0.143191106706569,0.308508075051755,0.586328244661264,0.814967969282369,"EOAD_vs_CN",27,"study_3_Soma"
"WFIKKN2",-0.0722950406650664,0.18502843052055,0.152665211142112,0.700237534851281,0.878296672959781,"EOAD_vs_CN",27,"study_3_Soma"
"TGFBI",-0.117663543835338,0.107026622697862,1.20864902670074,0.284369143870828,0.619823763700948,"EOAD_vs_CN",27,"study_3_Soma"
"DNER",-0.133353477667889,0.206330466206862,0.417716829439994,0.527741514395688,0.788652973381967,"EOAD_vs_CN",27,"study_3_Soma"
"C1S",0.0155504751915707,0.084264862167112,0.0340560519770374,0.855760658588786,0.953065880801368,"EOAD_vs_CN",27,"study_3_Soma"
"CHGB",-0.181778381562548,0.087184135364199,4.34719913981258,0.0514930632456209,0.446665637631516,"EOAD_vs_CN",27,"study_3_Soma"
"ALDOC",-0.0419355739196057,0.105054113812605,0.159345225400934,0.694943215894842,0.875439953333479,"EOAD_vs_CN",27,"study_3_Soma"
"ICAM5",-0.24835249143392,0.255199497165089,0.947059824324897,0.346374992031878,0.671586189960612,"EOAD_vs_CN",27,"study_3_Soma"
"HPX",-0.0600982247671809,0.152064633486147,0.15619489957226,0.697008689209099,0.876747065433145,"EOAD_vs_CN",27,"study_3_Soma"
"CHGA",-0.223500554311435,0.271238242002507,0.678977475830519,0.424097237023662,0.719543015033314,"EOAD_vs_CN",27,"study_3_Soma"
"HYOU1",-0.16133118833794,0.140722304105035,1.31434927744898,0.26619118634328,0.607760034657442,"EOAD_vs_CN",27,"study_3_Soma"
"IGHG2",-0.126577254657512,0.088829752459289,2.03046000906787,0.179214623667109,0.542985192282953,"EOAD_vs_CN",27,"study_3_Soma"
"ITIH5",-0.246198145618328,0.164436199862941,2.24168554652152,0.147755167921854,0.528547010082874,"EOAD_vs_CN",27,"study_3_Soma"
"GPI",0.442231959212588,0.175709907242159,6.33443305891813,0.0243940895798909,0.392986765697699,"EOAD_vs_CN",27,"study_3_Soma"
"APCS",-0.382105918188769,0.307225525677055,1.54686686442822,0.232878556434993,0.585218061571814,"EOAD_vs_CN",27,"study_3_Soma"
"MST1",0.0314418154386917,0.379343325733612,0.00686989870332979,0.934731786515699,0.977939429444604,"EOAD_vs_CN",27,"study_3_Soma"
"HP",0.58789444926513,1.69113958162077,0.120848095497419,0.732768049378292,0.895107800577455,"EOAD_vs_CN",27,"study_3_Soma"
"COL18A1",-0.181831345531052,0.229549522517583,0.627458081788482,0.435806436319258,0.729350769577516,"EOAD_vs_CN",27,"study_3_Soma"
"RTN4R",-0.414162283281538,0.170818415668592,5.87857026426984,0.0261770263701859,0.392986765697699,"EOAD_vs_CN",27,"study_3_Soma"
"GRIA4",-0.24984622809502,0.18305550110716,1.86285917589952,0.187832238033031,0.55058432376685,"EOAD_vs_CN",27,"study_3_Soma"
"SERPIND1",-0.186827306074719,0.179664737269704,1.08132192754311,0.314702231700474,0.644556870129293,"EOAD_vs_CN",27,"study_3_Soma"
"COCH",0.0308294670188953,0.245445789099778,0.0157768705451864,0.9020634941638,0.968248494739165,"EOAD_vs_CN",27,"study_3_Soma"
"CBLN1",-0.345570119765426,0.20662592135112,2.79706630025446,0.112120614339511,0.500784531644909,"EOAD_vs_CN",27,"study_3_Soma"
"CD59",-0.0673676335940296,0.073312357241856,0.844399985117675,0.373820314502,0.683520506447911,"EOAD_vs_CN",27,"study_3_Soma"
"TGFBR3",-0.0222271746007472,0.0908999930408294,0.0597916890717784,0.809615610462435,0.935451545509303,"EOAD_vs_CN",27,"study_3_Soma"
"CLSTN2",-0.123983604299438,0.128563095810392,0.930027673646939,0.349286445354948,0.671586189960612,"EOAD_vs_CN",27,"study_3_Soma"
"ART3",-0.114677604187463,0.20290223844197,0.319435769755972,0.580527399366813,0.812128881528901,"EOAD_vs_CN",27,"study_3_Soma"
"KRT1",-0.103866616375232,0.0565323104246794,3.37565844809078,0.0808475102312376,0.459278102450447,"EOAD_vs_CN",27,"study_3_Soma"
"L1CAM",-0.110935157120151,0.241712248371672,0.21064011798956,0.65447947340274,0.849883395173119,"EOAD_vs_CN",27,"study_3_Soma"
"B2M",-0.152844678743154,0.10368944849964,2.17285886254995,0.160071009532815,0.537585096226735,"EOAD_vs_CN",27,"study_3_Soma"
"C3",0.318924715553253,0.272826006677475,1.36648484974708,0.266016398254811,0.607760034657442,"EOAD_vs_CN",27,"study_3_Soma"
"APLP1",-0.134380679581973,0.0742813491671121,3.27275955660449,0.0911969150021383,0.470361445003256,"EOAD_vs_CN",27,"study_3_Soma"
"LUM",-0.218709578910243,0.0949517579671312,5.3055399518856,0.039004555476886,0.419117332002294,"EOAD_vs_CN",27,"study_3_Soma"
"BCAN",-0.0216490302664027,0.148997875122122,0.0211113859464509,0.886193845335694,0.966339893010402,"EOAD_vs_CN",27,"study_3_Soma"
"B3GNT2",-0.1927947708449,0.212910545886085,0.81996658382157,0.378639709537178,0.686143485915298,"EOAD_vs_CN",27,"study_3_Soma"
"NBL1",-0.0410391773008847,0.357046716537571,0.0132113502034877,0.910285772413019,0.971299347211931,"EOAD_vs_CN",27,"study_3_Soma"
"PKM",-0.0354262846948554,0.203479475493414,0.0303116793302136,0.864166092336409,0.956237165684395,"EOAD_vs_CN",27,"study_3_Soma"
"RBP4",-0.211911119579298,0.0922323883113901,5.27886532908819,0.0450061160782882,0.433444817714584,"EOAD_vs_CN",27,"study_3_Soma"
"SOD1",-0.0762842747824841,0.0505608733121375,2.27635981499236,0.149868134864931,0.530762231780785,"EOAD_vs_CN",27,"study_3_Soma"
"AGRN",-0.0638683773727937,0.131724324649993,0.235093057459122,0.633471148040127,0.835982327411477,"EOAD_vs_CN",27,"study_3_Soma"
"SPOCK3",-0.104737697406579,0.106902000761337,0.959918533864454,0.339376482612618,0.665844166500094,"EOAD_vs_CN",27,"study_3_Soma"
"COL1A1",0.052116063528695,0.131191051556757,0.157810095743774,0.6972332451578,0.876747065433145,"EOAD_vs_CN",27,"study_3_Soma"
"COL6A3",-0.433523978233983,0.350251810267824,1.53202364947586,0.242910653504749,0.593557031332446,"EOAD_vs_CN",27,"study_3_Soma"
"DDR1",-0.158988061847822,0.107445698908067,2.18953030088335,0.156109873222563,0.537062241346986,"EOAD_vs_CN",27,"study_3_Soma"
"PTPRD",-0.0885896361927756,0.250469954738577,0.125099208460341,0.72940323053083,0.894413930689262,"EOAD_vs_CN",27,"study_3_Soma"
"TPP1",-0.232395477115098,0.110638617533147,4.41206459529915,0.0548021630272633,0.45403450093572,"EOAD_vs_CN",27,"study_3_Soma"
"CLIC4",-0.0437892655226619,0.160371349327281,0.0745558550165639,0.788554865820603,0.923656709792476,"EOAD_vs_CN",27,"study_3_Soma"
"FGA",0.392307305933439,0.30925952281092,1.60918742184973,0.220027471261683,0.57946235912777,"EOAD_vs_CN",27,"study_3_Soma"
"HBB",-0.195055504222122,1.05950203721625,0.0338932197886701,0.856209592102042,0.953065880801368,"EOAD_vs_CN",27,"study_3_Soma"
"SCG5",-0.164114835648368,0.173496124204748,0.894779714358215,0.362389260438073,0.678953844967085,"EOAD_vs_CN",27,"study_3_Soma"
"SLITRK1",-0.29775368052271,0.305655136477603,0.948966497157962,0.347799873504759,0.671586189960612,"EOAD_vs_CN",27,"study_3_Soma"
"KLK6",-0.118139648737408,0.0689604950649403,2.93488176071181,0.104114585341524,0.492162316384424,"EOAD_vs_CN",27,"study_3_Soma"
"PCOLCE",-0.061593277575696,0.0646550340251968,0.907531985829091,0.35505441836473,0.674033815405278,"EOAD_vs_CN",27,"study_3_Soma"
"NRCAM",-0.190583421527144,0.129194493200004,2.17611696029644,0.163439150472519,0.538375317126364,"EOAD_vs_CN",27,"study_3_Soma"
"PLXDC2",0.153022251604261,0.165789498719913,0.851912791279381,0.367808334835679,0.679447527892623,"EOAD_vs_CN",27,"study_3_Soma"
"TAGLN",-0.147852762339276,0.21921203095691,0.454914850359605,0.510944850922831,0.779580931894663,"EOAD_vs_CN",27,"study_3_Soma"
"C1RL",-0.05680409518739,0.194273418132029,0.0854933884332165,0.774047384391498,0.915481937725899,"EOAD_vs_CN",27,"study_3_Soma"
"SERPINA7",-0.115626391866734,0.054957211894571,4.42654173841798,0.0547379820087397,0.45403450093572,"EOAD_vs_CN",27,"study_3_Soma"
"CRP",0.652444767845209,0.567235332606452,1.3230033862484,0.273753601769402,0.612212600320662,"EOAD_vs_CN",27,"study_3_Soma"
"C1QTNF3",-0.318080580863004,0.164682267426074,3.7306167490899,0.0792306554742456,0.459278102450447,"EOAD_vs_CN",27,"study_3_Soma"
"CNTN2",-0.166605390957862,0.128377268184097,1.68423171235317,0.213250065530365,0.574491272273839,"EOAD_vs_CN",27,"study_3_Soma"
"SERPINA1",0.0457914083885402,0.240845124354181,0.036148666781183,0.851511314131156,0.950644902057305,"EOAD_vs_CN",27,"study_3_Soma"
"F5",-0.532822160819403,0.159328914921468,11.1834387098055,0.00599230203393988,0.365118006422492,"EOAD_vs_CN",27,"study_3_Soma"
"NCAM1",-0.0625391691105328,0.0981444067577732,0.406044007490745,0.532469716846914,0.790048110424796,"EOAD_vs_CN",27,"study_3_Soma"
"PTPRS",-0.0445871585670332,0.131307854337363,0.115302356667042,0.739153058800597,0.899814039605752,"EOAD_vs_CN",27,"study_3_Soma"
"RARRES2",-0.0933770648732377,0.0391232156171808,5.69654261918957,0.0323410461229337,0.401942969800549,"EOAD_vs_CN",27,"study_3_Soma"
"APOA2",-0.356188354444855,0.174529949937951,4.16504314002729,0.0601791528148425,0.459278102450447,"EOAD_vs_CN",27,"study_3_Soma"
"A1BG",-0.292644864605165,0.253842662179145,1.32908448180506,0.272962769087938,0.612212600320662,"EOAD_vs_CN",27,"study_3_Soma"
"OAF",0.0833076133617077,0.182436080239408,0.208520098016056,0.653751259504077,0.849876637355301,"EOAD_vs_CN",27,"study_3_Soma"
"NID2",-0.0797471962322955,0.147545681122742,0.292131132812571,0.59710754570208,0.819601978846813,"EOAD_vs_CN",27,"study_3_Soma"
"CPVL",-0.118250828140457,0.0622754376130911,3.60557725754591,0.0769907223960605,0.459278102450447,"EOAD_vs_CN",27,"study_3_Soma"
"SERPINC1",-0.136069213377208,0.0409370835852034,11.0480580847416,0.00472299574855412,0.365118006422492,"EOAD_vs_CN",27,"study_3_Soma"
"CHL1",-0.133638707851436,0.0872567682094984,2.34566662318834,0.149114003930489,0.529263689866484,"EOAD_vs_CN",27,"study_3_Soma"
"FGB",-0.106941551369699,0.0920494373368195,1.3497417562809,0.265155442001134,0.606758519388336,"EOAD_vs_CN",27,"study_3_Soma"
"BTD",-0.106434830997365,0.087204785749956,1.48965915826178,0.235028546914721,0.58752793824612,"EOAD_vs_CN",27,"study_3_Soma"
"CPQ",-0.285479734561077,0.179465090167361,2.53040831254211,0.137141396383295,0.520873409558586,"EOAD_vs_CN",27,"study_3_Soma"
"GFRA2",-0.286970766206975,0.267727749560864,1.14891669340607,0.301363234181696,0.633536762571925,"EOAD_vs_CN",27,"study_3_Soma"
"PGK1",-0.109616408366758,0.0815255058662289,1.80785723510338,0.193848612793773,0.553993571029549,"EOAD_vs_CN",27,"study_3_Soma"
"SPP1",0.141417381041823,0.147432736178389,0.920063345296571,0.350741451846907,0.671586189960612,"EOAD_vs_CN",27,"study_3_Soma"
"IGHG1",-0.0839827322989777,0.037112801296176,5.12073765880656,0.0381388449615806,0.419117332002294,"EOAD_vs_CN",27,"study_3_Soma"
"ITM2B",-0.0629840530957404,0.126871332314624,0.246453056140724,0.627065956623415,0.834349938413235,"EOAD_vs_CN",27,"study_3_Soma"
"ENO2",0.0272961380231518,0.229535487679946,0.0141417361910946,0.906999694034306,0.970008123797008,"EOAD_vs_CN",27,"study_3_Soma"
"CTSA",-0.423116202173114,0.141384834159456,8.9559912008189,0.00999625364164645,0.376094342893945,"EOAD_vs_CN",27,"study_3_Soma"
"SEZ6L",-0.124451433536546,0.105484920887957,1.39193528474704,0.258502021341504,0.600869687052192,"EOAD_vs_CN",27,"study_3_Soma"
"CTSF",-0.298775154745242,0.160633030286731,3.45954716232879,0.0841579011994878,0.459278102450447,"EOAD_vs_CN",27,"study_3_Soma"
"AZGP1",-0.0641362063903852,0.112787179481581,0.323360571626002,0.578440321550149,0.811338661542709,"EOAD_vs_CN",27,"study_3_Soma"
"SIAE",-0.265164285855924,0.161985051522821,2.67966302104498,0.12356246350343,0.506958293076737,"EOAD_vs_CN",27,"study_3_Soma"
"GSN",-0.0606795572460079,0.0720963310706781,0.708367255860745,0.410332670788076,0.710473135452229,"EOAD_vs_CN",27,"study_3_Soma"
"RNASE4",0.0498254723024658,0.101264625579062,0.242095839344518,0.627196494302773,0.834349938413235,"EOAD_vs_CN",27,"study_3_Soma"
"C2",0.0424680167479856,0.163613290576971,0.0673731419956503,0.799130422724321,0.930301164445511,"EOAD_vs_CN",27,"study_3_Soma"
"RNASE1",-0.153488050033801,0.508769068157244,0.0910139029180759,0.767855097290165,0.913881876119817,"EOAD_vs_CN",27,"study_3_Soma"
