"Protein","Log2FC","SE","F_value","P_value","FDR","Comparison","N","Study"
"PARK7",-0.145856684191558,0.110480262023018,1.74294338980242,0.191106347766622,0.939759880365478,"EODLB_vs_LODLB",109,"study_9"
"CXCL16",-0.104839227724837,0.087901162566773,1.42252002345957,0.238221797878176,0.939759880365478,"EODLB_vs_LODLB",109,"study_9"
"NCAN",0.00812082173904294,0.0182252345137846,0.198542599637745,0.657233721528729,0.977886804137115,"EODLB_vs_LODLB",109,"study_9"
"DPP7",0.00978836968628238,0.126643829123906,0.00597382726300584,0.93864198121992,0.986500371709752,"EODLB_vs_LODLB",109,"study_9"
"ICOSLG",0.0864619103794642,0.116427222807244,0.551493728158369,0.460320567377769,0.939759880365478,"EODLB_vs_LODLB",109,"study_9"
"NUCB2",-0.0821727407110391,0.114298539881076,0.516861495132099,0.474447759902508,0.94608160452135,"EODLB_vs_LODLB",109,"study_9"
"PDGFB",-0.147682157671672,0.0899554755558117,2.69526114224428,0.103594497477647,0.939759880365478,"EODLB_vs_LODLB",109,"study_9"
"AMBP",-0.0212825287564935,0.0960295655405854,0.0491175312016879,0.825285090541677,0.986500371709752,"EODLB_vs_LODLB",109,"study_9"
"SPARCL1",-0.109591528906655,0.0819764792491253,1.78720942989901,0.185981273726949,0.939759880365478,"EODLB_vs_LODLB",109,"study_9"
"AXL",-0.102597591186283,0.0944674444494887,1.17953272649984,0.281643519649688,0.939759880365478,"EODLB_vs_LODLB",109,"study_9"
"SPON1",-0.131583606963068,0.122976556315113,1.14487723358382,0.28877855675439,0.939759880365478,"EODLB_vs_LODLB",109,"study_9"
"SPARC",0.0231028776095776,0.030330142666572,0.580207379912452,0.448599107758863,0.939759880365478,"EODLB_vs_LODLB",109,"study_9"
"LYVE1",-0.0990377892041394,0.101645148835006,0.949354825076757,0.333531202683443,0.939759880365478,"EODLB_vs_LODLB",109,"study_9"
"CNDP1",0.00523144827110311,0.0813164015638615,0.00413892509696032,0.948896579225425,0.988021189775846,"EODLB_vs_LODLB",109,"study_9"
"PLTP",0.0415310363571428,0.0990362667072133,0.175855929183908,0.676597691801438,0.977886804137115,"EODLB_vs_LODLB",109,"study_9"
"OMG",-0.0103805517382298,0.0235979827838044,0.193504520382111,0.661661360172821,0.977886804137115,"EODLB_vs_LODLB",109,"study_9"
"IGFBP6",-0.0690943060215101,0.119408535717858,0.334821835517635,0.564999171963706,0.968794991835507,"EODLB_vs_LODLB",109,"study_9"
"NPPC",-0.0215778316006485,0.040758318219392,0.28027417790761,0.598449353811208,0.977886804137115,"EODLB_vs_LODLB",109,"study_9"
"PTN",0.0719654757560875,0.046310215180441,2.41487582424797,0.124029571334959,0.939759880365478,"EODLB_vs_LODLB",109,"study_9"
"DCN",0.000135640469967946,0.0584046513873523,5.3936616558304e-06,0.998158644445411,0.998158644445411,"EODLB_vs_LODLB",109,"study_9"
"GALNT2",0.0124619785738636,0.0872321312634238,0.0204089674861721,0.886857663843896,0.986500371709752,"EODLB_vs_LODLB",109,"study_9"
"CD99L2",-0.0507490201818186,0.0529490434057768,0.918626747495838,0.341520402147267,0.939759880365478,"EODLB_vs_LODLB",109,"study_9"
"CHI3L1",0.0269832446875,0.0324030222290789,0.693453438216483,0.40796022988906,0.939759880365478,"EODLB_vs_LODLB",109,"study_9"
"FAM3C",0.0200571671939933,0.0201787847618815,0.987982321563823,0.325299289567558,0.939759880365478,"EODLB_vs_LODLB",109,"study_9"
"CRTAC1",-0.171727322422078,0.13540082492687,1.60855596795797,0.209147678098252,0.939759880365478,"EODLB_vs_LODLB",109,"study_9"
"CTSH",-0.00376584918506495,0.1651198229099,0.000520148581455433,0.981877283054841,0.995904101384196,"EODLB_vs_LODLB",109,"study_9"
"TIMP1",-0.126465311310064,0.0840658867097543,2.26309736252121,0.137552923808257,0.939759880365478,"EODLB_vs_LODLB",109,"study_9"
"SELL",-0.00912870268384758,0.123448616069676,0.00546821616001155,0.941317999880794,0.987688344702508,"EODLB_vs_LODLB",109,"study_9"
"TAFA5",-0.0020361267284903,0.0329523769715628,0.00381800168264778,0.950912412695063,0.988021189775846,"EODLB_vs_LODLB",109,"study_9"
"TNFRSF21",-0.00149430049715882,0.0400176388238023,0.0013943537257572,0.970332720326174,0.995823677253915,"EODLB_vs_LODLB",109,"study_9"
"IGFBP7",-0.0440070656899341,0.0475658216174243,0.855962655636518,0.35783274952589,0.939759880365478,"EODLB_vs_LODLB",109,"study_9"
"SEZ6L2",0.0249640805880682,0.0600369938560035,0.172899315972006,0.679046991114675,0.977886804137115,"EODLB_vs_LODLB",109,"study_9"
"KIT",-0.0211376888624191,0.113585663854867,0.0346312335115334,0.85300730223515,0.986500371709752,"EODLB_vs_LODLB",109,"study_9"
"IGFBP2",-0.0719722537183447,0.0944075509916201,0.581188136775241,0.449572534614839,0.939759880365478,"EODLB_vs_LODLB",109,"study_9"
"PRELP",-0.0695588758137182,0.0632973796399485,1.20762931156202,0.27672473069824,0.939759880365478,"EODLB_vs_LODLB",109,"study_9"
"ALCAM",-0.0848322052284907,0.101674649047124,0.696139295490589,0.406980912618501,0.939759880365478,"EODLB_vs_LODLB",109,"study_9"
"WFIKKN2",-0.221231338176137,0.140486857811209,2.47982991417538,0.121042836002391,0.939759880365478,"EODLB_vs_LODLB",109,"study_9"
"TGFBI",-0.133405072255682,0.124256667615873,1.152670769999,0.287596776641378,0.939759880365478,"EODLB_vs_LODLB",109,"study_9"
"DNER",0.00396188603368408,0.0340833117826545,0.0135120232080989,0.907829024069161,0.986500371709752,"EODLB_vs_LODLB",109,"study_9"
"CDH2",-0.144712442727678,0.0912337401379076,2.51594295805119,0.117224033163337,0.939759880365478,"EODLB_vs_LODLB",109,"study_9"
"MOG",-0.028348860998376,0.0257255442554282,1.2143449912163,0.27473465769809,0.939759880365478,"EODLB_vs_LODLB",109,"study_9"
"COL18A1",-0.0266606501948052,0.111830018103581,0.0568361540864356,0.812424697749552,0.986500371709752,"EODLB_vs_LODLB",109,"study_9"
"RTN4R",-0.0377168023478083,0.0822496937725265,0.210281541690781,0.64797373032316,0.977886804137115,"EODLB_vs_LODLB",109,"study_9"
"COCH",-0.0819085737175325,0.157236037322615,0.271365446243174,0.604319845515297,0.977886804137115,"EODLB_vs_LODLB",109,"study_9"
"CD59",-0.126426014445212,0.0963245925635672,1.72265588770433,0.194156424653645,0.939759880365478,"EODLB_vs_LODLB",109,"study_9"
"TGFBR3",-0.109675066046672,0.123310925689796,0.791065953158171,0.377492999272329,0.939759880365478,"EODLB_vs_LODLB",109,"study_9"
"CLSTN2",-0.111249139814936,0.0873598838314476,1.62169518653169,0.206855782700512,0.939759880365478,"EODLB_vs_LODLB",109,"study_9"
"APLP1",0.112469766336851,0.050624319327224,4.93575042837119,0.029933811972916,0.939759880365478,"EODLB_vs_LODLB",109,"study_9"
"BCAN",0.0231239230393658,0.0162793030061996,2.01767594856697,0.159704411870505,0.939759880365478,"EODLB_vs_LODLB",109,"study_9"
"NBL1",0.0338791523676942,0.0510194951720454,0.440953463388451,0.508676738304806,0.94608160452135,"EODLB_vs_LODLB",109,"study_9"
"SOD1",-0.0738901684675319,0.0717236534813659,1.06132527312871,0.307093754275863,0.939759880365478,"EODLB_vs_LODLB",109,"study_9"
"COL1A1",-0.0175788433392858,0.0870288031206516,0.0407994745433251,0.840709010395084,0.986500371709752,"EODLB_vs_LODLB",109,"study_9"
"DDR1",0.00566475549269541,0.0818540593576229,0.004789408649833,0.945024392585138,0.988021189775846,"EODLB_vs_LODLB",109,"study_9"
"TPP1",-0.165741013791397,0.0865783132352523,3.66472795581816,0.0599402574256786,0.939759880365478,"EODLB_vs_LODLB",109,"study_9"
"KLK6",0.036824438648539,0.0393156479128553,0.877286398528084,0.352248577688062,0.939759880365478,"EODLB_vs_LODLB",109,"study_9"
"PCOLCE",-0.0103304587329545,0.111770266240721,0.00854253257319762,0.926709988993018,0.986500371709752,"EODLB_vs_LODLB",109,"study_9"
"NRCAM",0.00159683364691432,0.0194153022965544,0.00676442734232335,0.934708218099626,0.986500371709752,"EODLB_vs_LODLB",109,"study_9"
